"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"allClientOk","body","Client-service 1 - Request 1","restrequest","OK","","23-мар.-2023 15_25",
"allClientOk","ok","Client-service 1 - Request 1","restrequest","OK","","23-мар.-2023 15_25",
"updateDiscount","body","Method 1 - Request 1","restrequest","OK","","23-мар.-2023 15_25",
"updateDiscount","ok","Method 1 - Request 1","restrequest","OK","","23-мар.-2023 15_25",
"allProductOk","body","1 - Request 1","restrequest","OK","","23-мар.-2023 15_25",
"allProductOk","ok","1 - Request 1","restrequest","OK","","23-мар.-2023 15_25",
"goodTotalPrice","TestCase 1","Method 1 - Request 1","restrequest","OK","","23-мар.-2023 15_25",
"statistic","TestCase 1","Method 1 - Request 1","restrequest","OK","","23-мар.-2023 15_25",
"feedback","createFeedBack","Method 1 - Request 1","restrequest","OK","","23-мар.-2023 15_25",
"feedback","deleteFeedback","Method 1 - Request 1","restrequest","OK","","23-мар.-2023 15_25",
"generate-check","validRequest","Method 1 - Request 1","restrequest","OK","","23-мар.-2023 15_25",
"generate-check","invalidRequest","Method 1 - Request 1","restrequest","OK","","23-мар.-2023 15_25",
"additionalInfo","TestCase 1","Method 1 - Request 1","restrequest","OK","","23-мар.-2023 15_25",
"getAllClient","TestCase 1","getAllClient - Request 1","request","OK","","23-мар.-2023 15_25",
